
第四卷　新澳洲·共222章VIP

第二百三十九节　投军的人

第二百三十节　军犬

第二百四十一节　孔令洋的野望

第二百四十二节　荷兰人的心

第二百四十三节　小店主和艺术家

第二百四十四节　公司的忧虑和野心

第二百四十五节　未来艺术家

第二百四十六节　火炸药厂

第二百四十七节　2300工程

第二百四十八节　引信

第二百四十九节　榴弹试验

第二百五十节　海军炮

第二百五十一节　战舰

第二百五十二节　立春

第二百五十三节　提督

第二百五十四节　明秋的隐忧

第二百五十五节　治安军

第二百五十六节　南洋式步枪

第二百五十七节　大洋舰队

第二百五十八节　香港的众人

第二百五十九节　招待会

第二百六十节　出航

第二百六十一节　安平的主人

第二百六十二节　来自澳门的消息

第二百六十三节　郑氏兄弟

第二百六十四节　大员的荷兰人

第二百六十五节　安平的交易

第二百六十六节　优势

第二百六十七节　风暴前夕

第二百六十八节　序幕

第二百六十九节　登陆屺姆岛

第二百七十节　吴桥的蝴蝶

第二百七十一节　北上和东进

第二百七十二节　逼孔反明

第二百七十三节　河闸之变

第二百七十四节　返回轨迹

第二百七十五节　开饭

第二百七十六节　云升观内

第二百七十七节　路线

第二百七十八节　迟到的济州Ｄ日

第二百七十九节　城山

第二百八十节　登陆

第二百八十一节　济州岛前指

第二百八十二节　审俘

第二百八十三节　士大夫和官奴婢

第二百八十四节　朴家兄弟

第二百八十五节　济州侦查

第二百八十六节　占领旌义

第二百八十七节　全岛攻略

第二百八十八节　带路党们

第二百八十九节　占领

第二百九十节　经略济州

第二百九十一节　军管会

第二百九十二节　新贵朴德欢

第二百九十三节　夜饮

第二百九十四节　下水

第二百九十五节　奉公队

第二百九十六节　尼克的到来

第二百九十七节　接收马匹

第二百九十八节　新马圈

第二百九十九节　现状和弊端
